# clusterName       ra        dec       l         b         r50     nbstars pmra      pmdec     par     d05       d16       dmode     d84       d95       Rgc       distance_Kharchenko logt_Kharchenko rc_Kharchenko rt_Kharchenko FeH_Kharchenko	FeH_synth
  BH_19             121.768   -32.355   249.881   -0.022    0.025   53     -2.897    3.547     0.19    4369.5    4444.2    4563.6    4693.0    4782.6    10796.5   3259.0        8.755         2.73          6.73          ""           	-0.21460625
  BH_200            252.484   -44.182   341.153   0.283     0.054   113    -0.025    -1.132    0.406   2246.4    2266.5    2296.0    2326.8    2348.2    6211.6    1633.0        7.5           2.09          4.85          ""           	0.1
  BH_202            253.779   -40.947   344.259   1.598     0.064   148    -1.869    -3.802    0.551   1705.2    1713.4    1724.7    1736.8    1744.3    6696.9    1130.0        7.6           0.62          3.65          ""           	0.1
  BH_211            255.535   -41.113   344.95    0.456     0.082   110    -0.671    -1.943    0.524   1779.8    1791.5    1808.6    1825.7    1837.4    6610.2    1820.0        8.52          0.43          6.19          ""           	0.1
  BH_217            259.071   -40.815   346.781   -1.51     0.039   129    -0.661    -1.826    0.31    2866.9    2901.7    2952.8    3005.9    3040.7    5508.0    1723.0        7.7           0.81          5.97          ""           	0.1
  BH_221            259.641   -32.334   353.972   3.014     0.152   162    2.0       -1.568    0.884   1087.3    1090.4    1095.5    1100.3    1103.8    7253.0    807.0         7.8           0.82          5.43          ""           	0.1
  BH_222            259.694   -38.289   349.121   -0.443    0.02    129    -2.091    -3.192    0.114   6258.0    6537.4    6976.5    7515.4    7894.6    1987.7    7813.0        7.9           4.77          44.52         ""           	0.1
  BH_23             123.449   -36.329   253.969   -1.03     0.372   94     -7.101    7.35      2.257   436.1     436.7     437.5     438.3     438.9     8471.3    414.0         7.14          0.41          3.57          ""           	0.04697875
  BH_245            266.561   -29.7     359.419   -0.513    0.016   44     -0.497    -2.194    0.336   2578.3    2632.6    2736.3    2848.2    2917.3    5604.0    1699.0        6.67          0.7           17.93         ""           	0.1
  BH_37             128.946   -43.61    262.345   -1.785    0.034   109    -3.484    3.953     0.243   3571.9    3611.7    3670.0    3731.3    3774.2    9547.9    5202.0        7.5           2.03          22.36         ""           	-0.07413875
  BH_54             132.413   -44.353   264.468   -0.279    0.048   49     -4.759    5.244     0.42    2195.0    2209.0    2229.4    2249.8    2263.8    8838.0    1239.0        7.5           0.34          4.95          ""           	0.005725
  BH_55             134.042   -39.518   261.527   3.745     0.048   80     -3.971    3.118     0.185   4486.6    4559.4    4671.2    4788.7    4872.6    10136.0   3642.0        7.45          2.03          17.13         ""           	-0.1403
